	dtm	0.1	0.2	0.3	0.4	0.5
1179	2019-12-25 13:30:00	0.03263557528976165	5.479599645029697e-06	2.939358882122449e-06	2.215117663049217e-06	1.7533427381035585e-06
1180	2019-12-25 14:00:00	0.0362332456757326	2.6279027965673993e-06	1.566105585182933e-06	1.2218661099152175e-06	8.05426572814667e-07
1181	2019-12-25 14:30:00	0.02931508681836597	3.5952366105512985e-06	1.5665589677522606e-06	1.3708438787885042e-06	1.2585748753266417e-06
1182	2019-12-25 15:00:00	0.010555847154194059	1.9833476377958156e-05	7.458116902214104e-06	5.318492996762469e-06	5.394426119437863e-06
1183	2019-12-25 15:30:00	0.0028752573362060964	9.455679766538121e-06	3.840731677281026e-06	3.0186761861188635e-06	2.798109625217403e-06
1184	2019-12-25 16:00:00	0.01562990963512786	2.478296991331355e-06	9.596947376282748e-07	1.0741093940141217e-06	3.0182129969997406e-06
1185	2019-12-25 16:30:00	0.006606313810223462	1.0303384133302455e-05	3.875219770711228e-06	2.607492083629024e-06	4.587134407812135e-06
1186	2019-12-25 17:00:00	0.012685221072073526	1.564413231431883e-06	6.846340666940223e-07	8.012648661155838e-07	2.3875917916293495e-06
1187	2019-12-25 17:30:00	0.0022171869685156257	1.218448054280099e-06	5.736239253496923e-07	7.876211308015354e-07	2.6691217959695774e-06
1188	2019-12-25 18:00:00	0.0222746346773987	1.918856195328519e-06	7.350249920109408e-07	2.411523610283041e-06	1.4539154161631955e-06
1189	2019-12-25 18:30:00	0.022215735767806846	2.2970809788391698e-06	8.082724534928581e-07	7.84195474260294e-07	3.871289746269997e-06
1190	2019-12-25 19:00:00	0.0029789727862946673	4.961793419195742e-06	2.027697144134233e-06	1.771592896055303e-06	4.366876781345091e-06
1191	2019-12-25 19:30:00	0.004259382038674342	2.6971253155623905e-06	1.1814136730122068e-06	9.22698286582958e-07	4.500698843420494e-06
1192	2019-12-25 20:00:00	0.013851627213299918	1.5252293298142917e-06	6.33271894602444e-07	7.428876838296143e-07	3.573222052533718e-06
1193	2019-12-25 20:30:00	0.003739735853018627	8.96773334851445e-06	3.5151381553070414e-06	2.442643762802916e-06	5.019857357105992e-06
1194	2019-12-25 21:00:00	0.01920490530316518	1.9758233816932602e-05	9.472152143051242e-06	5.7196986861123e-06	5.095977322143374e-06
1195	2019-12-25 21:30:00	0.027652486958812394	1.0488361589862446e-05	3.795732722365992e-06	4.1703524568849125e-06	2.8510707808376377e-06
1196	2019-12-25 22:00:00	0.03866976523523636	1.8461552301663132e-05	7.477074784638437e-06	6.405969113177349e-06	4.722980000041744e-06
1197	2019-12-25 22:30:00	0.013241597750883573	2.30646547815484e-06	1.1606204513018227e-06	3.0151745889427338e-06	1.9799319957118935e-06
1198	2019-12-25 23:00:00	0.005429232371458435	2.7203387402454212e-05	1.0241724263177814e-05	6.922167080663302e-06	7.199370397966858e-06
1199	2019-12-25 23:30:00	0.03869886033289898	2.4783911854513127e-05	9.63713579693033e-06	6.397152941369847e-06	6.4297998416876785e-06
1200	2019-12-26 00:00:00	0.031985604739386886	3.0987748499468706e-06	8.644071084172575e-07	8.851542329557449e-07	2.2138189382957875e-06
1201	2019-12-26 00:30:00	0.028501492486156393	7.666721237543776e-06	1.3476400742843504e-06	1.2136690727268103e-06	3.374683756801977e-06
1202	2019-12-26 01:00:00	0.003528059205721773	1.7859638714641982e-06	7.284912164613799e-07	7.058506317785851e-07	2.454535601871202e-06
1203	2019-12-26 01:30:00	0.019171346726903547	1.3923416048692243e-05	5.084826811135719e-06	3.7884355689598335e-06	3.672396212696815e-06
1204	2019-12-26 02:00:00	0.03348070562836995	2.3970238148484276e-05	8.476330535824803e-06	6.267504003520738e-06	4.83477843907739e-06
1205	2019-12-26 02:30:00	0.03934489289845786	4.812550771052386e-06	2.066647153454867e-06	1.6599185001217629e-06	1.1230344415103337e-06
